transaction_id,trade_date,trade_timestamp,pair,direction,client_id,client_name,client_type,client_tier,market_maker_id,market_maker_name,volume_crypto,mid_price_idr,mm_price_idr,client_price_idr,spread_bps,idr_mm_amount,idr_client_amount,gross_spread_idr,tax_idr,net_pnl_idr,bank_account_id,client_wallet_id,mm_wallet_id,crypto_settlement_timestamp,fiat_settlement_timestamp,pnl_recognition_timestamp,pnl_recognition_month,status,exchange_ref,notes
OTC-00001,2024-01-01,2024-01-01 15:26:42,USDT/IDR,BUY,CLT-003,Indo Global Investment,Institutional,A,MM-002,Global OTC Solutions,105158.82595876828,15842.66541273834,15839.20779368923,15891.477179408404,12,1665632495.7013319,1671129082.9371464,5496587.235814571,3509371.0741680074,1987216.161646564,BANK-IDR-003,WALLET-USDT-001,WALLET-USDT-002,2024-01-01 16:08:04,2024-01-01 18:32:27,2024-01-01 18:32:27,2024-01,SETTLED,EX-002,
OTC-00002,2024-01-01,2024-01-01 09:01:52,USDC/IDR,SELL,CLT-005,PT Teknologi Nusantara,Corporate,B,MM-001,Liquidity Prime,388816.8013828605,15838.068099793434,15823.664950344815,15760.370290543437,19,6152506792.147151,6127896764.978563,24610027.168587685,12868583.206454983,11741443.962132702,BANK-IDR-002,WALLET-USDC-001,WALLET-USDT-002,2024-01-01 09:56:25,2024-01-01 11:57:27,2024-01-01 11:57:27,2024-01,SETTLED,EX-002,
OTC-00003,2024-01-01,2024-01-01 09:56:59,USDC/IDR,SELL,CLT-007,Jakarta Capital Alpha,Institutional,A,MM-003,Apex Alpha Liquidity,391216.3215265934,15838.068099793434,15843.165984141218,15768.703104015754,26,6198105117.650979,6168974023.598019,29131094.052960396,12954845.449555838,16176248.603404557,BANK-IDR-001,WALLET-USDC-001,WALLET-USDT-002,2024-01-01 10:38:39,2024-01-01 12:39:57,2024-01-01 12:39:57,2024-01,SETTLED,EX-002,
OTC-00004,2024-01-01,2024-01-01 12:31:45,USDC/IDR,BUY,CLT-002,Andi Pratama,HNWI,B,MM-003,Apex Alpha Liquidity,335559.01769712486,15838.068099793434,15843.4231003271,15914.718504278571,24,5316403492.505698,5340327308.221973,23923815.716275215,11214687.347266143,12709128.369009072,BANK-IDR-002,WALLET-USDC-001,WALLET-USDT-002,2024-01-01 12:59:58,2024-01-01 14:12:17,2024-01-01 14:12:17,2024-01,SETTLED,EX-001,
OTC-00005,2024-01-01,2024-01-01 15:31:07,USDC/IDR,BUY,CLT-001,PT Maju Jaya Bersama,Corporate,A,MM-002,Global OTC Solutions,289511.5891637531,15838.068099793434,15841.135004763531,15915.58833928592,26,4586192169.386647,4607747272.582765,21555103.1961174,9676269.272423806,11878833.923693595,BANK-IDR-002,WALLET-USDC-001,WALLET-USDT-002,2024-01-01 16:09:38,2024-01-01 16:32:46,2024-01-01 16:32:46,2024-01,SETTLED,EX-001,
OTC-00006,2024-01-01,2024-01-01 12:57:23,USDT/IDR,BUY,CLT-010,Dewi Sartika,HNWI,B,MM-001,Liquidity Prime,262675.5048911524,15842.66541273834,15833.049688338107,15902.715106966794,23,4158954320.850915,4177253719.862659,18299399.011744022,8772232.811711583,0.0,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-01 13:53:10,2024-01-01 15:28:52,2024-01-01 15:28:52,2024-01,RECONCILING,EX-001,
OTC-00007,2024-01-01,2024-01-01 17:06:15,USDC/IDR,SELL,CLT-007,Jakarta Capital Alpha,Institutional,A,MM-003,Apex Alpha Liquidity,264510.9326253849,15838.068099793434,15828.474527427237,15768.326324223013,17,4186804559.2869267,4170894701.9616365,15909857.325290203,8758878.874119436,7150978.451170767,BANK-IDR-003,WALLET-USDC-001,WALLET-USDT-002,2024-01-01 17:44:10,2024-01-01 18:59:33,2024-01-01 18:59:33,2024-01,SETTLED,EX-001,
OTC-00008,2024-01-01,2024-01-01 14:54:59,USDC/IDR,BUY,CLT-005,PT Teknologi Nusantara,Corporate,B,MM-002,Global OTC Solutions,214947.84976459376,15838.068099793434,15836.346886889005,15902.859543813938,21,3403988711.46301,3418285464.0511546,14296752.58814478,7178399.474507424,7118353.113637355,BANK-IDR-001,WALLET-USDC-001,WALLET-USDT-002,2024-01-01 15:32:14,2024-01-01 17:35:55,2024-01-01 17:35:55,2024-01,SETTLED,EX-001,
OTC-00009,2024-01-01,2024-01-01 10:18:33,USDC/IDR,BUY,CLT-003,Indo Global Investment,Institutional,A,MM-002,Global OTC Solutions,176870.03069591825,15838.068099793434,15831.120421781281,15908.692911848007,28,2800050754.9512334,2813771003.650494,13720248.699260712,5908919.107666037,7811329.591594675,BANK-IDR-002,WALLET-USDC-001,WALLET-USDT-002,2024-01-01 10:55:41,2024-01-01 11:58:35,2024-01-01 11:58:35,2024-01,SETTLED,EX-001,
OTC-00010,2024-01-01,2024-01-01 09:20:31,USDC/IDR,SELL,CLT-003,Indo Global Investment,Institutional,A,MM-003,Apex Alpha Liquidity,112522.39589016403,15838.068099793434,15846.562376461183,15784.760783192984,18,1783093165.2223437,1776139101.8779764,6954063.344367266,3729892.11394375,3224171.2304235157,BANK-IDR-002,WALLET-USDC-001,WALLET-USDT-002,2024-01-01 09:28:46,2024-01-01 12:00:39,2024-01-01 12:00:39,2024-01,SETTLED,EX-002,
OTC-00011,2024-01-01,2024-01-01 12:45:47,USDC/IDR,SELL,CLT-009,PT Sumber Berkah,Corporate,C,MM-002,Global OTC Solutions,138155.37109063627,15838.068099793434,15826.013890233287,15748.466422171145,28,2186448821.8907437,2175735222.6634793,10713599.227264404,4569043.967593307,6144555.259671098,BANK-IDR-003,WALLET-USDC-001,WALLET-USDT-002,2024-01-01 13:17:47,2024-01-01 14:25:25,2024-01-01 14:25:25,2024-01,SETTLED,EX-002,
OTC-00012,2024-01-01,2024-01-01 14:19:42,USDT/IDR,SELL,CLT-008,Mega Lestari,HNWI,C,MM-002,Global OTC Solutions,6848.101668604691,15842.66541273834,15844.346853272273,15782.55390054451,18,108503698.12384534,108080533.70116234,423164.42268300056,226969.1207724409,196195.30191055968,BANK-IDR-001,WALLET-USDT-001,WALLET-USDT-002,2024-01-01 14:32:43,2024-01-01 15:38:21,2024-01-01 15:38:21,2024-01,SETTLED,EX-001,
OTC-00013,2024-01-01,2024-01-01 13:44:32,BTC/IDR,BUY,CLT-001,PT Maju Jaya Bersama,Corporate,A,MM-003,Apex Alpha Liquidity,0.42724724349109666,677458891.6376395,677785108.7851591,682597383.0575336,50,289581819.4077723,291637850.3255674,2056030.9177951217,612439.4856836916,1443591.43211143,BANK-IDR-001,WALLET-BTC-001,WALLET-USDT-002,2024-01-01 15:01:04,2024-01-01 16:47:34,2024-01-01 16:47:34,2024-01,SETTLED,EX-002,
OTC-00014,2024-01-01,2024-01-01 10:34:08,USDT/IDR,BUY,CLT-001,PT Maju Jaya Bersama,Corporate,A,MM-001,Liquidity Prime,368717.1294840231,15842.66541273834,15850.335376659446,15904.226516940089,13,5844290161.440933,5864160747.989832,19870586.548898697,12314737.570778646,7555848.978120051,BANK-IDR-003,WALLET-USDT-001,WALLET-USDT-002,2024-01-01 11:28:06,2024-01-01 11:56:21,2024-01-01 11:56:21,2024-01,SETTLED,EX-002,
